iter	Logloss
0	0.6807481162
1	0.670116118
2	0.6608986328
3	0.6530480148
4	0.6464583508
5	0.640669952
6	0.6358316177
7	0.6315348238
8	0.6280193351
9	0.6249868605
10	0.6221432575
11	0.6197821099
12	0.6177308783
13	0.6158416332
14	0.6142124241
15	0.6127241989
16	0.6114259114
17	0.6103185539
18	0.6093032584
19	0.6084183657
20	0.6076399331
21	0.6069446389
22	0.6063614472
23	0.6057913795
24	0.6052674018
25	0.6047963806
26	0.6043777723
27	0.6040039812
28	0.6035273953
29	0.6030910116
30	0.6027540269
31	0.6024556313
32	0.6021352876
33	0.6018595337
34	0.6016367332
35	0.6013762346
36	0.601206381
37	0.6010289208
38	0.6007088959
39	0.6005621583
40	0.6002795508
41	0.6000908864
42	0.5999357219
43	0.5997867852
44	0.5996549449
45	0.5995120676
46	0.5992320262
47	0.5990783467
48	0.5989166716
49	0.5987604984
50	0.5986480054
51	0.5985227959
52	0.5984442255
53	0.5982939832
54	0.5981909309
55	0.5981032057
56	0.5979971408
57	0.5978852638
58	0.5977565689
59	0.5976718441
60	0.5974908742
61	0.5973641791
62	0.597271111
63	0.597207286
64	0.5971409777
65	0.5970785092
66	0.5970160478
67	0.5969408387
68	0.5968857451
69	0.5968462451
70	0.5967441363
71	0.5966941668
72	0.5965924006
73	0.5965245888
74	0.5964137643
75	0.5963235933
76	0.596189431
77	0.596122453
78	0.5960776414
79	0.5958716839
80	0.595824042
81	0.5957919972
82	0.5957563826
83	0.5955667056
84	0.595420373
85	0.5953640377
86	0.5952650038
87	0.5951880438
88	0.5951543706
89	0.5950798103
90	0.5949996268
91	0.594880957
92	0.594849768
93	0.5948203905
94	0.5947630398
95	0.5947221701
96	0.5946579646
97	0.5945777121
98	0.594539478
99	0.5944421249
100	0.5944080008
101	0.5943324569
102	0.5942637912
103	0.5942283946
104	0.5942001819
105	0.594139864
106	0.5941101608
107	0.5940516445
108	0.5940282137
109	0.5940026106
110	0.593951729
111	0.5938148984
112	0.5937183531
113	0.5936823919
114	0.5936455342
115	0.5934424807
116	0.5934070123
117	0.5933858462
118	0.5933131384
119	0.5932249535
120	0.5932049742
121	0.5931861062
122	0.5931591826
123	0.5931363721
124	0.5930648863
125	0.5929091474
126	0.5928452094
127	0.5927885982
128	0.592768864
129	0.5927294005
130	0.5927063181
131	0.5926407182
132	0.5925980471
133	0.5925210609
134	0.5924979606
135	0.592469783
136	0.5924435541
137	0.5924227465
138	0.5924015975
139	0.5923746944
140	0.5922492195
141	0.5921821786
142	0.592140566
143	0.5921053647
