iter	Passed	Remaining
0	36	25538
1	72	25406
2	105	24450
3	135	23544
4	165	23038
5	196	22688
6	227	22490
7	257	22285
8	287	22098
9	318	21944
10	355	22270
11	385	22100
12	417	22082
13	482	23640
14	519	23707
15	559	23908
16	592	23802
17	622	23588
18	666	23900
19	698	23762
20	730	23613
21	761	23462
22	795	23404
23	829	23373
24	863	23313
25	896	23229
26	931	23210
27	960	23062
28	994	23020
29	1023	22866
30	1055	22782
31	1086	22679
32	1117	22592
33	1148	22493
34	1179	22416
35	1213	22376
36	1247	22348
37	1278	22277
38	1309	22193
39	1344	22181
40	1376	22124
41	1406	22035
42	1439	21986
43	1475	21995
44	1505	21908
45	1536	21846
46	1567	21780
47	1599	21721
48	1630	21665
49	1661	21603
50	1692	21541
51	1721	21456
52	1751	21379
53	1783	21341
54	1817	21310
55	1848	21252
56	1879	21197
57	1910	21143
58	1945	21131
59	1977	21091
60	2011	21072
61	2044	21042
62	2078	21019
63	2110	20974
64	2141	20921
65	2171	20863
66	2201	20803
67	2233	20753
68	2263	20702
69	2295	20658
70	2327	20623
71	2363	20615
72	2393	20561
73	2426	20526
74	2456	20469
75	2486	20416
76	2516	20364
77	2548	20323
78	2580	20280
79	2610	20233
80	2641	20189
81	2672	20142
82	2704	20105
83	2733	20047
84	2763	19996
85	2794	19949
86	2822	19890
87	2853	19844
88	2882	19791
89	2915	19760
90	2956	19787
91	2998	19816
92	3037	19828
93	3070	19794
94	3099	19740
95	3131	19704
96	3163	19665
97	3189	19593
98	3220	19548
99	3250	19502
100	3280	19456
101	3311	19416
102	3338	19349
103	3368	19304
104	3397	19254
105	3429	19216
106	3459	19174
107	3490	19133
108	3521	19092
109	3551	19048
110	3580	18999
111	3609	18948
112	3641	18916
113	3672	18875
114	3703	18837
115	3737	18818
116	3768	18780
117	3797	18732
118	3836	18731
119	3870	18706
120	3900	18665
121	3936	18651
122	3967	18612
123	3997	18568
124	4028	18529
125	4061	18503
126	4092	18465
127	4122	18424
128	4152	18382
129	4183	18345
130	4214	18305
131	4245	18266
132	4275	18228
133	4308	18199
134	4347	18193
135	4377	18153
136	4409	18119
137	4440	18082
138	4470	18043
139	4499	17998
140	4531	17965
141	4562	17927
142	4592	17886
143	4622	17848
144	4653	17813
145	4686	17782
146	4717	17748
147	4748	17709
148	4780	17679
149	4814	17653
150	4845	17615
151	4875	17576
152	4905	17537
153	4935	17498
154	4965	17460
155	4994	17417
156	5026	17385
157	5059	17354
158	5089	17318
159	5120	17282
160	5151	17244
161	5182	17209
162	5213	17177
163	5244	17140
164	5278	17113
165	5308	17075
166	5339	17040
167	5371	17008
168	5401	16972
169	5433	16940
170	5466	16910
171	5498	16879
172	5530	16846
173	5559	16805
174	5589	16769
175	5621	16736
176	5651	16697
177	5685	16673
178	5718	16644
179	5751	16614
180	5782	16580
181	5814	16548
182	5846	16516
183	5877	16481
184	5908	16447
185	5939	16413
186	5973	16386
187	6006	16358
188	6036	16321
189	6070	16294
190	6099	16254
191	6130	16219
192	6160	16182
193	6189	16144
194	6223	16116
195	6254	16082
196	6284	16045
197	6315	16012
198	6345	15974
199	6376	15941
200	6404	15900
201	6435	15865
202	6464	15826
203	6497	15797
204	6528	15764
205	6566	15746
206	6592	15700
207	6624	15670
208	6654	15633
209	6687	15604
210	6718	15570
211	6754	15547
212	6787	15518
213	6816	15479
214	6846	15445
215	6879	15414
216	6913	15388
217	6942	15350
218	6975	15320
219	7010	15295
220	7044	15267
221	7079	15242
222	7122	15236
223	7152	15198
224	7184	15166
225	7216	15134
226	7250	15107
227	7281	15074
228	7315	15046
229	7348	15016
230	7381	14986
231	7416	14959
232	7454	14940
233	7489	14915
234	7525	14890
235	7557	14859
236	7588	14825
237	7620	14792
238	7653	14762
239	7684	14729
240	7726	14715
241	7756	14680
242	7788	14647
243	7826	14626
244	7861	14599
245	7894	14569
246	7923	14531
247	7963	14514
248	7997	14486
249	8029	14453
250	8071	14438
251	8111	14419
252	8145	14390
253	8186	14374
254	8217	14340
255	8250	14309
256	8282	14276
257	8314	14243
258	8347	14212
259	8374	14172
260	8416	14155
261	8449	14126
262	8484	14097
263	8517	14067
264	8547	14031
265	8580	13999
266	8610	13963
267	8643	13932
268	8675	13899
269	8711	13873
270	8739	13834
271	8770	13799
272	8805	13772
273	8835	13737
274	8872	13711
275	8909	13686
276	8941	13654
277	8972	13620
278	9004	13587
279	9037	13556
280	9069	13523
281	9102	13491
282	9136	13462
283	9171	13434
284	9208	13408
285	9237	13372
286	9271	13341
287	9301	13306
288	9334	13275
289	9366	13241
290	9400	13212
291	9431	13178
292	9464	13146
293	9502	13122
294	9534	13089
295	9565	13055
296	9596	13021
297	9626	12986
298	9657	12952
299	9689	12919
300	9721	12887
301	9750	12850
302	9780	12814
303	9809	12778
304	9851	12758
305	9880	12722
306	9909	12686
307	9940	12651
308	9969	12615
309	10008	12591
310	10038	12556
311	10064	12516
312	10099	12487
313	10138	12463
314	10184	12447
315	10220	12419
316	10279	12419
317	10309	12384
318	10339	12349
319	10380	12326
320	10422	12306
321	10451	12269
322	10480	12232
323	10531	12221
324	10571	12198
325	10623	12187
326	10675	12176
327	10707	12144
328	10741	12112
329	10774	12080
330	10815	12056
331	10842	12018
332	10892	12004
333	10936	11984
334	10971	11954
335	11003	11920
336	11097	11953
337	11152	11943
338	11225	11953
339	11261	11923
340	11311	11908
341	11352	11883
342	11396	11862
343	11426	11825
344	11463	11795
345	11493	11759
346	11534	11733
347	11565	11698
348	11597	11664
349	11646	11646
350	11742	11675
351	11816	11681
352	11847	11645
353	11917	11648
354	11950	11613
355	11983	11579
356	12044	11571
357	12074	11534
358	12114	11507
